Ewe/V,Capacity/mA.h
3.02E-01,0.09273545
3.02E-01,0.092875548
3.02E-01,0.093015643
3.02E-01,0.093155741
3.02E-01,0.093295838
3.01E-01,0.093435937
3.01E-01,0.093576033
3.01E-01,0.093716131
3.01E-01,0.093856226
3.01E-01,0.093996323
3.01E-01,0.094136414
3.01E-01,0.094276503
3.01E-01,0.094416594
3.00E-01,0.094556688
3.00E-01,0.094696782
3.00E-01,0.094836876
3.00E-01,0.09497697
3.00E-01,0.095117066
3.00E-01,0.095257161
3.00E-01,0.095397255
3.00E-01,0.09553735
3.00E-01,0.095677444
2.99E-01,0.095817538
2.99E-01,0.095957635
2.99E-01,0.096097731
2.99E-01,0.096237826
2.99E-01,0.096377921
2.99E-01,0.096518019
2.99E-01,0.096658116
2.99E-01,0.096798216
2.99E-01,0.096938313
2.98E-01,0.097078409
2.98E-01,0.09721851
2.98E-01,0.097358611
2.98E-01,0.097498706
2.98E-01,0.097638803
2.98E-01,0.0977789
2.98E-01,0.097918997
2.98E-01,0.098059092
2.98E-01,0.098199188
2.97E-01,0.098339283
2.97E-01,0.098479378
2.97E-01,0.098619475
2.97E-01,0.098759567
2.97E-01,0.09889966
2.97E-01,0.099039754
2.97E-01,0.099179848
2.97E-01,0.099319943
2.97E-01,0.099460037
2.96E-01,0.099600136
2.96E-01,0.099740234
2.96E-01,0.099880332
2.96E-01,0.100020433
2.96E-01,0.100160534
2.96E-01,0.100300633
2.96E-01,0.10044073
2.96E-01,0.100580826
2.96E-01,0.100720924
2.96E-01,0.100861021
2.95E-01,0.101001118
2.95E-01,0.101141215
2.95E-01,0.101281311
2.95E-01,0.101421406
2.95E-01,0.101561502
2.95E-01,0.101701598
2.95E-01,0.101841693
2.95E-01,0.101981788
2.95E-01,0.102121882
2.94E-01,0.102261979
2.94E-01,0.102402074
2.94E-01,0.102542169
2.94E-01,0.102682266
2.94E-01,0.102822359
2.94E-01,0.102962451
2.94E-01,0.103102545
2.94E-01,0.103242639
2.94E-01,0.103382733
2.94E-01,0.103522826
2.94E-01,0.103662923
2.93E-01,0.103803019
2.93E-01,0.103943114
2.93E-01,0.104083208
2.93E-01,0.104223302
2.93E-01,0.104363396
2.93E-01,0.10450349
2.93E-01,0.104643586
2.93E-01,0.104783681
2.93E-01,0.104923778
2.92E-01,0.105063873
2.92E-01,0.105203969
2.92E-01,0.105344064
2.92E-01,0.105484158
2.92E-01,0.105624252
2.92E-01,0.105764347
2.92E-01,0.105904441
2.92E-01,0.106044535
2.92E-01,0.106184633
2.92E-01,0.106324727
2.91E-01,0.106464819
2.91E-01,0.106604916
2.91E-01,0.106745016
2.91E-01,0.106885115
2.91E-01,0.107025209
2.91E-01,0.107165305
2.91E-01,0.107305401
2.91E-01,0.107445498
2.91E-01,0.107585597
2.91E-01,0.107725695
2.90E-01,0.107865791
2.90E-01,0.108005886
2.90E-01,0.108145982
2.90E-01,0.108286081
2.90E-01,0.108426181
2.90E-01,0.108566279
2.90E-01,0.108706377
2.90E-01,0.108846475
2.90E-01,0.108986575
2.90E-01,0.109126674
2.89E-01,0.109266773
2.89E-01,0.109406872
2.89E-01,0.109546974
2.89E-01,0.109687077
2.89E-01,0.109827177
2.89E-01,0.109967277
2.89E-01,0.110107375
2.89E-01,0.110247472
2.89E-01,0.110387568
