Ewe/V,Capacity/mA.h
9.36E-02,0.921634837
9.36E-02,0.921493123
9.35E-02,0.921351412
9.36E-02,0.921209698
9.36E-02,0.921067982
9.35E-02,0.920926265
9.36E-02,0.920784549
9.36E-02,0.920642837
9.36E-02,0.920501123
9.36E-02,0.92035941
9.36E-02,0.9202177
9.37E-02,0.920075988
9.37E-02,0.919934274
9.36E-02,0.91979256
9.36E-02,0.919650844
9.37E-02,0.919509126
9.37E-02,0.919367409
9.36E-02,0.919225689
9.37E-02,0.91908397
9.37E-02,0.918942249
9.36E-02,0.918800531
9.38E-02,0.918658812
9.37E-02,0.918517093
9.37E-02,0.918375373
9.38E-02,0.918233655
9.37E-02,0.918091937
9.37E-02,0.917950221
9.38E-02,0.917808503
9.37E-02,0.917666784
9.38E-02,0.917525068
9.38E-02,0.917383352
9.38E-02,0.917241638
9.38E-02,0.917099921
9.39E-02,0.916958203
9.37E-02,0.916816488
9.38E-02,0.916674771
9.38E-02,0.916533058
9.38E-02,0.916391344
9.38E-02,0.916249632
9.38E-02,0.91610792
9.37E-02,0.915966207
9.38E-02,0.915824497
9.40E-02,0.915682786
9.38E-02,0.915541075
9.38E-02,0.915399362
9.39E-02,0.915257649
9.39E-02,0.915115936
9.39E-02,0.914974223
9.39E-02,0.91483251
9.39E-02,0.914690795
9.40E-02,0.914549081
9.38E-02,0.914407366
9.39E-02,0.914265648
9.40E-02,0.914123933
9.39E-02,0.91398222
9.40E-02,0.913840505
9.39E-02,0.913698792
9.39E-02,0.913557085
9.39E-02,0.913415374
9.40E-02,0.913273661
9.40E-02,0.913131943
9.39E-02,0.912990228
9.38E-02,0.912848515
9.40E-02,0.912706805
9.40E-02,0.912565093
9.39E-02,0.912423383
9.40E-02,0.912281673
9.40E-02,0.912139967
9.40E-02,0.911998255
9.40E-02,0.911856542
9.39E-02,0.911714832
9.39E-02,0.91157312
9.41E-02,0.91143141
9.40E-02,0.911289698
9.40E-02,0.911147984
9.41E-02,0.91100627
9.41E-02,0.910864557
9.40E-02,0.910722843
9.40E-02,0.910581129
9.40E-02,0.910439418
9.40E-02,0.910297701
9.41E-02,0.910155981
9.41E-02,0.910014261
9.40E-02,0.909872542
9.40E-02,0.909730825
9.42E-02,0.909589108
9.40E-02,0.909447389
9.41E-02,0.90930567
9.41E-02,0.909163949
9.41E-02,0.909022229
9.41E-02,0.908880509
9.41E-02,0.908738793
9.41E-02,0.908597077
9.41E-02,0.908455365
9.42E-02,0.908313652
9.42E-02,0.908171934
9.40E-02,0.908030216
9.41E-02,0.9078885
9.41E-02,0.907746785
9.41E-02,0.90760507
9.41E-02,0.907463357
9.41E-02,0.907321647
9.40E-02,0.907179938
9.42E-02,0.907038228
9.42E-02,0.906896513
9.41E-02,0.906754798
9.42E-02,0.906613081
9.41E-02,0.906471364
9.42E-02,0.906329644
9.41E-02,0.90618792
9.43E-02,0.906046201
9.41E-02,0.905904481
9.42E-02,0.905762764
9.42E-02,0.905621047
9.43E-02,0.905479332
